Year	Mo	Da	Ho	Lat	Lon	H	Mw	MwUnc	McModel2
1456	12	5	0	41.302	14.711	0	7.19	0.10	1
1456	12	9	0	43.57	12.141	0	4.40	0.46	0
1457	1	8	0	40.849	14.25	0	3.37	0.50	0
1457	2	10	0	41.106	14.214	0	4.40	0.46	0
1458	4	26	12	43.463	12.236	0	5.80	0.46	0
1458	5	0	0	43.194	13.229	0	4.40	0.46	0
1458	5	1	0	43.457	12.239	0	4.63	0.46	0
1461	11	27	0	42.308	13.543	0	6.50	0.46	1
1462	1	3	20	42.351	13.399	0	4.16	0.46	0
1462	1	4	22	42.351	13.399	0	4.16	0.46	0
1462	3	27	2	42.351	13.399	0	4.16	0.46	0
1464	3	24	0	43.996	10.457	0	4.16	0.46	0
1465	4	7	15	44.698	10.631	0	4.40	0.46	0
1465	5	17	0	43.351	12.577	0	4.63	0.46	0
1466	1	15	2	40.765	15.334	0	5.98	0.17	0
1466	12	20	11	42.351	13.399	0	4.16	0.46	0
1466	12	26	0	43.351	12.577	0	4.63	0.46	0
1467	8	22	20	43.318	11.332	0	4.40	0.46	0
1467	9	3	0	43.318	11.332	0	4.86	0.46	0
1468	6	6	10	44.059	12.568	0	3.70	0.46	0
1469	4	7	6	43.773	11.257	0	4.16	0.46	0
1470	1	0	0	40.822	14.123	0	3.63	0.50	0
1470	4	11	0	44.162	11.037	0	5.56	0.46	0
1471	0	0	0	45.539	10.22	0	3.70	0.46	0
1471	3	0	0	43.351	12.577	0	4.16	0.46	0
1471	8	15	16	45.539	10.22	0	4.16	0.46	0
1472	0	0	0	44.059	12.568	0	5.10	0.46	0
1473	2	2	0	44.059	12.568	0	4.40	0.46	0
1473	5	7	7	45.464	9.191	0	3.70	0.46	0
1474	3	11	20	44.647	10.926	0	4.16	0.46	0
1474	8	18	0	43.619	13.513	0	5.10	0.46	0
1477	1	30	16	42.955	12.704	0	4.40	0.46	0
1477	2	3	1	42.955	12.704	0	4.86	0.46	0
1479	10	10	22	44.222	12.04	0	4.16	0.46	0
1480	0	0	0	42.919	13.835	0	4.86	0.46	0
1481	2	6	21	43.781	10.454	0	4.40	0.46	0
1481	2	7	6	43.843	10.505	0	4.40	0.46	0
1481	2	7	22	44.724	10.628	0	4.16	0.46	0
1481	5	7	14	44.274	10.13	0	5.60	0.41	0
1483	3	3	22	44.835	11.62	0	4.40	0.46	0
1483	8	11	19	44.155	12.229	0	5.69	0.28	1
1484	0	0	0	43.57	12.141	0	5.10	0.46	0
1484	1	19	0	42.092	12.565	0	5.02	0.57	0
1485	0	0	0	44.698	10.631	0	4.16	0.46	0
1485	9	1	0	45.355	11.721	0	4.16	0.46	0
1486	9	30	0	43.318	11.332	0	4.40	0.46	0
1487	1	11	15	44.835	11.62	0	3.70	0.46	0
1489	0	0	0	43.57	12.141	0	5.10	0.46	0
1490	6	10	0	37.816	14.614	0	5.10	0.46	0
1491	1	24	23	45.407	11.875	0	4.86	0.46	0
1492	1	0	0	44.222	12.04	0	4.86	0.46	0
1493	8	24	0	46.279	13.135	0	4.16	0.46	0
1494	5	29	2	38.185	15.555	0	5.33	0.46	0
1494	6	13	0	43.7	7.267	0	4.40	0.46	0
1496	6	0	0	42.806	12.742	0	4.16	0.46	0
1496	6	4	8	43.318	11.332	0	5.10	0.46	0
1496	6	4	0	43.318	11.332	0	4.16	0.46	0
1498	4	10	0	42.351	13.399	0	4.40	0.46	0
1498	4	11	8	43.197	11.506	0	4.40	0.46	0
1498	10	7	0	40.835	14.186	0	3.25	0.50	0
1498	10	20	0	40.822	14.123	0	3.63	0.50	0
1499	3	18	1	40.849	14.25	0	3.12	0.50	0
1499	11	9	0	38.185	15.555	0	5.33	0.46	0
1499	12	5	22	40.926	14.529	0	5.56	0.46	0
1501	6	5	10	44.519	10.844	0	6.05	0.19	1
1502	3	10	0	42.386	12.949	0	5.10	0.46	0
1502	5	15	0	44.331	7.487	0	4.16	0.46	0
1502	9	6	0	43.462	13.087	0	4.63	0.46	0
1503	11	14	0	43.425	13.024	0	4.86	0.46	0
1504	11	1	0	43.697	11.816	0	5.10	0.46	0
1504	12	31	4	44.494	11.343	0	5.02	0.28	0
1505	1	3	2	44.507	11.23	0	5.62	0.21	0
1505	1	20	23	44.494	11.343	0	4.76	0.32	0
1505	1	27	2	44.494	11.343	0	4.16	0.46	0
1505	4	3	12	44.494	11.343	0	4.40	0.46	0
1505	5	15	0	44.494	11.343	0	4.40	0.46	0
1505	5	18	8	40.83	14.149	0	3.75	0.50	0
