rlz_id,branch_path,weight
82,br0082~BeA11,8.3819998e-04
83,br0083~BeA11,8.3819998e-04
84,br0084~BeA11,8.3819998e-04
85,br0085~BeA11,8.3819998e-04
86,br0086~BeA11,8.3819998e-04
87,br0087~BeA11,8.3819998e-04
88,br0088~BeA11,8.3819998e-04
89,br0089~BeA11,8.3819998e-04
90,br0090~BeA11,8.3819998e-04
91,br0091~BeA11,8.3819998e-04
92,br0092~BeA11,8.3819998e-04
93,br0093~BeA11,8.3819998e-04
94,br0094~BeA11,8.3819998e-04
95,br0095~BeA11,8.3819998e-04
96,br0096~BeA11,8.3819998e-04
97,br0097~BeA11,8.3819998e-04
98,br0098~BeA11,8.3819998e-04
99,br0099~BeA11,8.3819998e-04
100,br0100~BeA11,8.3819998e-04
101,br0101~BeA11,8.3819998e-04
102,br0102~BeA11,8.3819998e-04
103,br0103~BeA11,8.3819998e-04
104,br0104~BeA11,8.3819998e-04
105,br0105~BeA11,8.3819998e-04
106,br0106~BeA11,8.3819998e-04
107,br0107~BeA11,8.3819998e-04
108,br0108~BeA11,8.3819998e-04
109,br0109~BeA11,8.3819998e-04
110,br0110~BeA11,8.3819998e-04
111,br0111~BeA11,8.3819998e-04
112,br0112~BeA11,8.3819998e-04
113,br0113~BeA11,8.3819998e-04
114,br0114~BeA11,8.3819998e-04
115,br0115~BeA11,8.3819998e-04
116,br0116~BeA11,8.3819998e-04
117,br0117~BeA11,8.3819998e-04
118,br0118~BeA11,8.3819998e-04
119,br0119~BeA11,8.3819998e-04
120,br0120~BeA11,8.3819998e-04
121,br0121~BeA11,8.3819998e-04
122,br0122~BeA11,8.3819998e-04
123,br0123~BeA11,8.3819998e-04
124,br0124~BeA11,8.3819998e-04
125,br0125~BeA11,8.3819998e-04
126,br0126~BeA11,8.3819998e-04
127,br0127~BeA11,8.3819998e-04
128,br0128~BeA11,8.3819998e-04
129,br0129~BeA11,8.3819998e-04
130,br0130~BeA11,8.3819998e-04
131,br0131~BeA11,8.3819998e-04
132,br0132~BeA11,8.3819998e-04
133,br0133~BeA11,8.3819998e-04
134,br0134~BeA11,8.3819998e-04
135,br0135~BeA11,8.3819998e-04
136,br0136~BeA11,8.3819998e-04
137,br0137~BeA11,8.3819998e-04
138,br0138~BeA11,8.3819998e-04
139,br0139~BeA11,8.3819998e-04
140,br0140~BeA11,8.3819998e-04
141,br0141~BeA11,8.3819998e-04
142,br0142~BeA11,8.3819998e-04
143,br0143~BeA11,8.3819998e-04
144,br0144~BeA11,8.3819998e-04
145,br0145~BeA11,8.3819998e-04
146,br0146~BeA11,8.3819998e-04
147,br0147~BeA11,8.3819998e-04
148,br0148~BeA11,8.3819998e-04
149,br0149~BeA11,8.3819998e-04
150,br0150~BeA11,8.3819998e-04
151,br0151~BeA11,8.3819998e-04
152,br0152~BeA11,8.3819998e-04
153,br0153~BeA11,8.3819998e-04
154,br0154~BeA11,8.3819998e-04
155,br0155~BeA11,8.3819998e-04
156,br0156~BeA11,8.3819998e-04
157,br0157~BeA11,8.3819998e-04
158,br0158~BeA11,8.3819998e-04
159,br0159~BeA11,8.3819998e-04
160,br0160~BeA11,8.3819998e-04
161,br0161~BeA11,8.3819998e-04
162,br0162~BeA11,8.3819998e-04
163,br0163~BeA11,8.3819998e-04
164,br0164~BeA11,8.3819998e-04
165,br0165~BeA11,8.3819998e-04
166,br0166~BeA11,8.3819998e-04
167,br0167~BeA11,8.3819998e-04
168,br0168~BeA11,8.3819998e-04
169,br0169~BeA11,8.3819998e-04
170,br0170~BeA11,8.3819998e-04
171,br0171~BeA11,8.3819998e-04
172,br0172~BeA11,8.3819998e-04
173,br0173~BeA11,8.3819998e-04
174,br0174~BeA11,8.3819998e-04
175,br0175~BeA11,8.3819998e-04
176,br0176~BeA11,8.3819998e-04
177,br0177~BeA11,8.3819998e-04
178,br0178~BeA11,8.3819998e-04
179,br0179~BeA11,8.3819998e-04
180,br0180~BeA11,8.3819998e-04
181,br0181~BeA11,8.3819998e-04
182,br0182~BeA11,8.3819998e-04
