rup_id	involved_faults
806	1 2 7 12 58 
807	1 2 7 28 29 
808	1 2 7 29 57 
809	1 2 7 29 58 
810	1 2 7 57 58 
811	1 2 7 58 59 
812	1 2 11 12 13 
813	1 2 11 12 29 
814	1 2 11 28 29 
815	1 2 12 13 29 
816	1 2 12 28 29 
817	1 2 27 28 29 
818	1 3 4 5 6 
819	1 3 5 6 7 
820	1 3 5 6 11 
821	1 3 5 6 29 
822	1 3 5 6 57 
823	1 3 5 6 58 
824	1 4 5 6 7 
825	1 4 5 6 11 
826	1 4 5 6 29 
827	1 4 5 6 57 
828	1 4 5 6 58 
829	1 5 6 7 8 
830	1 5 6 7 11 
831	1 5 6 7 29 
832	1 5 6 7 57 
833	1 5 6 7 58 
834	1 5 6 11 12 
835	1 5 6 11 29 
836	1 5 6 11 57 
837	1 5 6 11 58 
838	1 5 6 28 29 
839	1 5 6 29 57 
840	1 5 6 29 58 
841	1 5 6 57 58 
842	1 5 6 58 59 
843	1 6 7 8 9 
844	1 6 7 8 11 
845	1 6 7 8 29 
846	1 6 7 8 57 
847	1 6 7 8 58 
848	1 6 7 11 12 
849	1 6 7 11 29 
850	1 6 7 11 57 
851	1 6 7 11 58 
852	1 6 7 28 29 
853	1 6 7 29 57 
854	1 6 7 29 58 
855	1 6 7 57 58 
856	1 6 7 58 59 
857	1 6 11 12 13 
858	1 6 11 12 29 
859	1 6 11 12 57 
860	1 6 11 12 58 
861	1 6 11 28 29 
862	1 6 11 29 57 
863	1 6 11 29 58 
864	1 6 11 57 58 
865	1 6 11 58 59 
866	1 6 27 28 29 
867	1 6 28 29 57 
868	1 6 28 29 58 
869	1 6 29 57 58 
870	1 6 29 58 59 
871	1 6 42 58 59 
872	1 6 57 58 59 
873	1 7 8 9 11 
874	1 7 8 9 29 
875	1 7 8 9 43 
876	1 7 8 9 44 
877	1 7 8 9 57 
878	1 7 8 9 58 
879	1 7 8 11 12 
880	1 7 8 11 29 
881	1 7 8 11 57 
882	1 7 8 11 58 
883	1 7 8 28 29 
884	1 7 8 29 57 
885	1 7 8 29 58 
886	1 7 8 57 58 
