rup_id	involved_faults
559	49 50 51 83 
560	49 50 72 73 
561	49 50 73 83 
562	49 50 82 83 
563	49 71 72 73 
564	49 72 73 83 
565	49 73 82 83 
566	49 81 82 83 
567	50 51 80 83 
568	50 51 82 83 
569	50 81 82 83 
570	52 53 54 55 
571	60 61 62 81 
572	61 62 81 82 
573	62 81 82 83 
574	67 68 69 70 
575	0 1 2 5 6 
576	0 1 2 6 7 
577	0 1 2 6 11 
578	0 1 2 6 12 
579	0 1 2 6 29 
580	0 1 2 6 57 
581	0 1 2 6 58 
582	0 1 2 7 8 
583	0 1 2 7 11 
584	0 1 2 7 12 
585	0 1 2 7 29 
586	0 1 2 7 57 
587	0 1 2 7 58 
588	0 1 2 11 12 
589	0 1 2 11 29 
590	0 1 2 12 13 
591	0 1 2 12 29 
592	0 1 2 28 29 
593	0 1 4 5 6 
594	0 1 5 6 7 
595	0 1 5 6 29 
596	0 1 5 6 57 
597	0 1 5 6 58 
598	0 1 6 7 8 
599	0 1 6 7 29 
600	0 1 6 7 57 
601	0 1 6 7 58 
602	0 1 6 28 29 
603	0 1 6 29 57 
604	0 1 6 29 58 
605	0 1 6 57 58 
606	0 1 6 58 59 
607	0 1 7 8 9 
608	0 1 7 8 29 
609	0 1 7 8 57 
610	0 1 7 8 58 
611	0 1 7 28 29 
612	0 1 7 29 57 
613	0 1 7 29 58 
614	0 1 7 57 58 
615	0 1 7 58 59 
616	0 1 27 28 29 
617	0 2 5 6 7 
618	0 2 6 7 8 
619	0 2 6 7 11 
620	0 2 6 7 12 
621	0 2 6 7 29 
622	0 2 6 7 57 
623	0 2 6 7 58 
624	0 3 4 5 6 
625	0 4 5 6 7 
626	0 4 5 6 29 
627	0 4 5 6 57 
628	0 4 5 6 58 
629	0 5 6 7 8 
630	0 5 6 7 29 
631	0 5 6 7 57 
632	0 5 6 7 58 
633	0 5 6 28 29 
634	0 5 6 29 57 
635	0 5 6 29 58 
636	0 5 6 57 58 
637	0 5 6 58 59 
638	0 6 7 8 9 
639	0 6 7 8 29 
640	0 6 7 8 57 
641	0 6 7 8 58 
642	0 6 7 28 29 
643	0 6 7 29 57 
644	0 6 7 29 58 
645	0 6 7 57 58 
646	0 6 7 58 59 
647	0 6 27 28 29 
648	0 6 28 29 57 
649	0 6 28 29 58 
650	0 6 29 57 58 
651	0 6 29 58 59 
652	0 6 42 58 59 
653	0 6 57 58 59 
654	0 27 28 29 55 
655	1 2 4 5 6 
656	1 2 5 6 7 
657	1 2 5 6 11 
658	1 2 5 6 12 
659	1 2 5 6 29 
660	1 2 5 6 57 
661	1 2 5 6 58 
662	1 2 6 7 8 
663	1 2 6 7 11 
664	1 2 6 7 12 
665	1 2 6 7 29 
666	1 2 6 7 57 
667	1 2 6 7 58 
668	1 2 6 11 12 
669	1 2 6 11 29 
670	1 2 6 11 57 
671	1 2 6 11 58 
672	1 2 6 12 13 
673	1 2 6 12 29 
674	1 2 6 12 57 
675	1 2 6 12 58 
676	1 2 6 28 29 
677	1 2 6 29 57 
678	1 2 6 29 58 
679	1 2 6 57 58 
680	1 2 6 58 59 
681	1 2 7 8 9 
682	1 2 7 8 11 
683	1 2 7 8 12 
684	1 2 7 8 29 
685	1 2 7 8 57 
686	1 2 7 8 58 
687	1 2 7 11 12 
688	1 2 7 11 29 
689	1 2 7 11 57 
690	1 2 7 11 58 
691	1 2 7 12 13 
692	1 2 7 12 29 
693	1 2 7 12 57 
694	1 2 7 12 58 
695	1 2 7 28 29 
696	1 2 7 29 57 
